"gene_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","name","F0hPC1","F0hPC2","F0hPC3","F0hPP1","F0hPP2","F0hPP3"
"ENSMUSG00000024294",1452.58994523315,0.0342664662722054,0.14697767428021,0.233140621118259,0.815652212771304,0.962037372541326,"Mib1","MIB E3 ubiquitin protein ligase 1",1735.93086324685,1803.33681768016,1144.66742861272,1592,1328,1068
"ENSMUSG00000024295",0.510174602170026,-0.489211515360157,4.62015248667919,-0.105886443525544,0.91567245009551,NA,"Cyp4f41-ps","cytochrome P450, family 4, subfamily f, polypeptide 41 pseudogene",0,1,2,2,1,1
"ENSMUSG00000024298",1182.57998623671,-0.0255023503074885,0.208325039573011,-0.122416154869135,0.902569444997921,0.984879547729903,"Zfp871","zinc finger protein 871",835.091045165952,689.348315507101,428.529661022754,707.155874357411,478.778239513355,471.668008942748
"ENSMUSG00000024299",8.71917901327085,0.316614561977523,0.676128602722405,0.468275651559019,0.639587478172288,0.902521552054324,"Adamts10","ADAM metallopeptidase with thrombospondin type 1 motif 10",11.2807519495992,7.18665418782535,5.4331349471299,6,8.30452998641555,8.79026173112252
"ENSMUSG00000024300",2.4320738000782,0.0481167073948524,1.14258838684858,0.0421120220970959,0.966409396426019,NA,"Myo1f","myosin IF",8,0,4,5,4,1
"ENSMUSG00000024301",3.40366775738696,-4.84070354155618,1.96974113334837,-2.4575328501809,0.0139895015695262,0.131010982609003,"Kifc5b","kinesin family member C5B",0,0,0,5,0,8.05086147734014
"ENSMUSG00000024302",3.82695867188441,-0.0507613846575582,1.17835919918401,-0.0430780229769576,0.965639338157324,0.994611101872319,"Dtna","dystrobrevin alpha",1,1.27142974501932,6.67066413506294,10.0588757867293,0,2.48968309286993
"ENSMUSG00000024304",2343.74005310551,0.697363692452379,0.105704057611421,6.59732188347925,4.18651184146069e-11,5.94306532047356e-09,"Cdh2","cadherin 2",3043,3683,2305,1574.20521834941,1470.19381987929,1480
"ENSMUSG00000024308",489.724013659551,-0.307097823165825,0.25908345118164,-1.18532396324504,0.235889382380292,0.644654812761088,"Tapbp","TAP binding protein",641.307733628785,495.200073953988,467.047854415173,489.707382595209,527.978591839736,594.790944611945
"ENSMUSG00000024309",724.585734357888,-0.234697950104822,0.114481844968425,-2.05008881687357,0.0403557644913117,0.258773340399838,"Pfdn6","prefoldin subunit 6",950,855,581,930,797,581
"ENSMUSG00000024312",447.174641175364,-0.00256888489463722,0.101438227718787,-0.0253246231958904,0.97979603375723,0.998050672068646,"Wdr46","WD repeat domain 46",528.287812483752,558,424,420,455.150570243883,378.039806306648
"ENSMUSG00000024313",0.708670913813162,0,4.53292060689852,0,1,NA,"Mep1b","meprin 1 beta",0,0,0,0,0,0
"ENSMUSG00000024317",141.05275176269,-0.0355626710380244,0.259512379681162,-0.137036510865943,0.891001935832815,0.982719925975805,"Rnf138","ring finger protein 138",106.11768971409,142.127515142604,77.579955900168,137.43156339607,76.4224308398583,66.5930557477072
"ENSMUSG00000024319",338.220009999525,0.0859656353230373,0.196307956880781,0.43791212892733,0.661449982918298,0.909280784182731,"Vps52","VPS52 GARP complex subunit",444,502,385,323,360,305
"ENSMUSG00000024325",298.903326516181,-0.0509814536727282,0.261225002557986,-0.195162994252097,0.845265348282647,0.970236929263253,"Ring1","ring finger protein 1",329,352,297,274,298,237
"ENSMUSG00000024327",2105.82814927909,0.0929289655977125,0.129762388578313,0.716147156474612,0.473900488498398,0.829095266257772,"Slc39a7","solute carrier family 39 (zinc transporter), member 7",3092,3352,2174,2610,2558,1890
"ENSMUSG00000024330",15.8725184815328,-1.69403021735167,0.937858454836001,-1.80627493265804,0.0708754053732783,0.358893495889309,"Col11a2","collagen, type XI, alpha 2",5.25590653051904,1.57094355339894,9,13,9,12.5319507689301
"ENSMUSG00000024331",1332.31274341685,-0.0124859641889205,0.20122638661922,-0.0620493385519445,0.950523541183927,0.991114396474927,"Dsc2","desmocollin 2",1685,1375,819,1345,1029,837
"ENSMUSG00000024335",1960.89497973901,0.0603918839260662,0.243747930114954,0.247763679049848,0.804317258747379,0.95874470968093,"Brd2","bromodomain containing 2",2300.05091245211,2239.60352573522,1427.48740032273,1606.64682657193,1897.99568571039,1242.79584064574
"ENSMUSG00000024338",273.344839119421,-0.190658633882847,0.252844562255301,-0.754054713228659,0.450816368991758,0.815495448979495,"Psmb8","proteasome (prosome, macropain) subunit, beta type 8 (large multifunctional peptidase 7)",385.243980562417,493.350654949261,314.039327265936,365.789675628343,501.813851327799,260.597803055504
"ENSMUSG00000024339",364.737859572301,0.174412374786952,0.182100903279755,0.957778745990121,0.338174338805292,0.732844147666087,"Tap2","transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)",571,567,479,372,449,381
"ENSMUSG00000024340",0.552964186000383,-1.21065991956436,3.45172453999343,-0.350740595182795,0.725782967341002,NA,"Btnl2","butyrophilin-like 2",0,0,0,0,0,1
"ENSMUSG00000024346",344.561468706814,0.0373650993498517,0.139171414945566,0.268482571399207,0.788327888580726,0.954491184576826,"Pfdn1","prefoldin 1",509.135660759694,472,332.928716108267,425.602160129654,377.819923140829,265.026943174942
"ENSMUSG00000024347",1.28866760555855,-0.777745021799952,1.8880659163641,-0.411926837436733,0.680393049313164,NA,"Psd2","pleckstrin and Sec7 domain containing 2",0,1,1,1,1,1
"ENSMUSG00000024349",4.10901776992642,-0.262856308715909,3.8301083037791,-0.0686289493319427,0.945284974952161,0.990720050550977,"Sting1","stimulator of interferon response cGAMP interactor 1",0,9.85145894563888,0,0,9.16163665556728,0
"ENSMUSG00000024350",201.077236381383,-0.220980161051889,0.157513869397158,-1.40292510048563,0.160639175042269,0.538991489002774,"Dnajc18","DnaJ heat shock protein family (Hsp40) member C18",203.169956073825,212.383120105508,164.558222683925,200.378700413342,185.186806647138,180.348954185082
"ENSMUSG00000024352",36.0061612920039,0.558614297935851,0.454858491711239,1.22810568147089,0.219407298529297,0.625148905084035,"Spata24","spermatogenesis associated 24",30,39,42.5086509150917,24,15,26
"ENSMUSG00000024353",1.46272523069463,1.02424530047885,1.77957581205833,0.575555867605417,0.564915418313434,NA,"Mzb1","marginal zone B and B1 cell-specific protein 1",4.73858627739507,0,2,2,1,0
"ENSMUSG00000024354",837.07387082904,-0.353947207068075,0.308339640222202,-1.14791340747821,0.251004312743656,0.656272572778157,"Slc23a1","solute carrier family 23 (nucleobase transporters), member 1",1047.19126897105,1229.63634831971,1130.78350486691,776.152337426817,1473.76513499665,1382.51968273977
"ENSMUSG00000024357",1539.09125539419,-0.355825505077576,0.0974801153532791,-3.65023680766097,0.000261998649264095,0.00646096782522492,"Sil1","SIL1 nucleotide exchange factor",1704.98024477877,1729.10791428508,1235.0096152539,1737.96186614704,1697.55113336893,1528.73215410252
"ENSMUSG00000024359",12834.5605778832,-0.128060411872962,0.0803455264374286,-1.59387109091497,0.110964910615986,0.45285498880378,"Hspa9","heat shock protein 9",14576.127594145,16617.2004759762,11311.2019857993,13865.3379268815,12399.0573267448,12345.250768979
"ENSMUSG00000024360",2625.11502635252,-0.139003097723819,0.104289842349656,-1.33285365661767,0.18257983340039,0.574338825293447,"Etf1","eukaryotic translation termination factor 1",2971,3060,2082,2850,2504,2096
"ENSMUSG00000024365",7.39180537063682,1.06180568525082,1.34844196322397,0.787431505551903,0.431029309731824,0.80251920037135,"Cyp21a1","cytochrome P450, family 21, subfamily a, polypeptide 1",1,1,5,2,1,0
"ENSMUSG00000024369",491.977106596037,0.453697361717695,0.162946717770563,2.78432955217008,0.00536385046770387,0.0683167044480842,"Nelfe","negative elongation factor complex member E, Rdbp",673,692,549,413,546,443
"ENSMUSG00000024370",225.88207225947,0.274705197966074,0.197865091524548,1.38834594748105,0.165031727199826,0.546481796514591,"Cdc23","CDC23 cell division cycle 23",321.224989728296,354.350681733589,291.38729611664,227.604033419916,191.751258358489,214.05133850249
"ENSMUSG00000024371",2034.02723941124,-0.736017218617103,0.178549150632606,-4.12221069665898,3.75253733464827e-05,0.0012138877832002,"C2","complement C2",1793.91872707611,1670.58524358526,1157.99143643191,2148.60166715037,2721.92952326937,1915.87725875728
"ENSMUSG00000024376",9.52011526280163,-1.15067075306535,0.58559289624875,-1.96496706233363,0.0494180498934415,0.295046588266967,"Epb41l4a","erythrocyte membrane protein band 4.1 like 4a",6.23334107716507,6.61181439278933,12,13.5311470218684,20.7074589126039,13.4479387097961
"ENSMUSG00000024378",2992.81048096168,-0.032272134195698,0.170051983521246,-0.189778052142896,0.849483055187573,0.971424974967098,"Stard4","StAR related lipid transfer domain containing 4",4751.16226601419,4842.87514102582,3469.07648940384,4124,3838,3249
"ENSMUSG00000024381",30.4977826167983,0.258940267871915,0.590715576670779,0.438350160548126,0.661132469432538,0.909179382134963,"Bin1","bridging integrator 1",25.6032519996262,28.6833820695149,47.9941189206461,12.743180972659,38.7571267287215,22.9405606737857
"ENSMUSG00000024382",455.708803115322,0.349576981795464,0.155131156748729,2.25342857696656,0.0242321393852092,0.188215173432033,"Ercc3","excision repair cross-complementing rodent repair deficiency, complementation group 3",561,674,523,399,367,393
"ENSMUSG00000024383",541.554999519762,-0.0375774567076517,0.146212533040699,-0.257005715763038,0.797174360705515,0.956877160273965,"Map3k2","mitogen-activated protein kinase kinase kinase 2",620.214087876525,748.067390253562,401.177778276832,574.881417447623,523.934397681087,402.835386843377
"ENSMUSG00000024384",280.678677329115,0.00673345046090073,0.1792057476778,0.0375738532282292,0.970027455297233,0.995389600391131,"Iws1","IWS1, SUPT6 interacting protein",373.551032958205,400.098350698452,289.682687280966,309.131192304341,347.443971475426,230.890226669814
"ENSMUSG00000024386",293.371297991946,0.536527681578925,0.350187359641344,1.53211607103246,0.125493794590857,0.478972389940851,"Proc","protein C",242.955705872188,339.462496247416,295.36301550801,149.31710027084,157.591092775056,200.163422087784
"ENSMUSG00000024387",1125.96014300808,0.0168970978392512,0.0781456345563205,0.21622574229752,0.828811788684955,0.965846825765564,"Csnk2b","casein kinase 2, beta polypeptide",1404,1408,992,1208,1005,963
"ENSMUSG00000024388",2.0253660930807,1.7625915037233,2.00857576334941,0.877532994216796,0.380197205904505,NA,"Myo7b","myosin VIIB",7,0,1,2,0,0
"ENSMUSG00000024391",3545.07662589448,-0.238827207457068,0.176102316030192,-1.35618436395875,0.175040515710245,0.563327107911716,"Apom","apolipoprotein M",4697,4369,2802,4712,3778,3124
"ENSMUSG00000024392",1792.65067652563,-0.0230238121521097,0.108616343071518,-0.211973737110167,0.832127523490126,0.966415894987549,"Bag6","BCL2-associated athanogene 6",2161,2252,1680,1852,1647,1716
"ENSMUSG00000024393",2118.05766810129,-0.185115824738804,0.14963264433724,-1.23713528928616,0.21603686049508,0.621216116922769,"Prrc2a","proline-rich coiled-coil 2A",2730,3012,2178,2439,2074,2683
"ENSMUSG00000024395",990.08170389162,0.323321377002728,0.163074776213179,1.98265718654164,0.0474057349244017,0.287276170223077,"Lims2","LIM and senescent cell antigen like domains 2",1044.66634911803,975.533340780731,586.300679652705,701.263034113346,555.293197650144,467.874541223092
"ENSMUSG00000024397",1.22658391665686,2.19631985424381,2.21539003601775,0.99139195290044,0.321494228089508,NA,"Aif1","allograft inflammatory factor 1",2,0,1,0,0,0
"ENSMUSG00000024399",2.13091201632979,-3.87123973024998,1.62654146467761,-2.38004367814704,0.017310586072266,NA,"Ltb","lymphotoxin B",0,0,0,2,4,1
"ENSMUSG00000024400",568.89279796382,0.200721560747197,0.18176971425343,1.10426294925756,0.269479090014113,0.674784945983923,"Wdr33","WD repeat domain 33",689.97284002413,692.819381451803,503.156359423729,498.745393258741,541.983929212654,418.33817714322
"ENSMUSG00000024403",26.0976683944934,-0.896808404289747,0.513837022969192,-1.74531683043695,0.0809297338688447,0.386239759923413,"Atp6v1g2","ATPase, H+ transporting, lysosomal V1 subunit G2",28,23,10,24.2498571261828,23,20
"ENSMUSG00000024404",1425.52734379594,0.141701263256859,0.14606345974465,0.97013492289299,0.331979243496176,0.728128044906801,"Riok3","RIO kinase 3",1960.62391332013,1597.01105658544,1236.30924258972,1499.94172958059,1142.02193734095,997.687800962405
"ENSMUSG00000024409",1.07455301778826,2.33703016060783,1.93051421665628,1.21057391882648,0.226058745039139,NA,"Psors1c2","psoriasis susceptibility 1 candidate 2 (human)",5,2,0,0,0,1
"ENSMUSG00000024410",400.862058100566,0.273153332092815,0.177547249857588,1.53848247332422,0.123930690677696,0.476991963196761,"Rmc1","regulator of MON1-CCZ1",498.353946849183,484.569475849921,378.543406450011,370.859937366455,321.371235083734,294.000683937413
"ENSMUSG00000024411",221.84113124552,-3.01348035275952,0.418125442641025,-7.20712026927932,5.71475263958789e-13,1.1731947572717e-10,"Aqp4","aquaporin 4",35.425721889189,34.7618896343179,36.1304025336041,181.933590787787,232.79144099829,298.11724209493
"ENSMUSG00000024413",3919.25292529752,0.151295791321671,0.126926951699768,1.19199105702582,0.233264751881315,0.641347494688905,"Npc1","NPC intracellular cholesterol transporter 1",4079.46013815234,3856.26467581944,2761.82999052756,2787.30674959224,2656.48783504186,2550.38047469698
"ENSMUSG00000024414",780.413764525116,0.396449470256852,0.133529504587048,2.96900277944494,0.00298767894047751,0.0444454713285752,"Mrpl27","mitochondrial ribosomal protein L27",1069.18806005718,1057.95217720117,901.264751973561,760.324097454915,652.18488796713,534.463015014
"ENSMUSG00000024420",1.80918740452331,2.0509819470941,2.35986984667356,0.869108078136233,0.384788018669971,NA,"Zfp521","zinc finger protein 521",7,8.00091017946838,5.2318518214437,0,4,0
"ENSMUSG00000024421",8.33866227502699,2.45579494163377,1.37411899919256,1.78717777941853,0.0739087595184684,0.366222980696043,"Lama3","laminin, alpha 3",0,12.3884496297779,1.90960199523275,0,0,1.82425370637456
"ENSMUSG00000024422",829.155832567869,-0.115805651802634,0.136288339637982,-0.849710636362909,0.39548598346481,0.778716978508842,"Dhx16","DEAH-box helicase 16",968.696888537073,1088.16787568704,749.008329929292,695.413916562343,808.037472491272,795.235296483614
"ENSMUSG00000024423",198.106733854712,0.45554071721858,0.285420377025996,1.59603431950161,0.110481131232674,0.4516981012528,"Impact","impact, RWD domain protein",249.465767477888,203.925542682964,137.643173996601,159.778755542572,88.4478827954452,110.114013114816
"ENSMUSG00000024424",1530.09740825793,0.165878002680795,0.214078487040698,0.774846669433251,0.438430268421073,0.807177566395388,"Ttc39c","tetratricopeptide repeat domain 39C",1235.44478751867,1401.14243623488,1115.76937927647,684.203867828533,1178.90558904987,932.462899994337
"ENSMUSG00000024425",367.951955118659,-0.0282331877845502,0.227879626861424,-0.123895181738731,0.901398267970761,0.984879547729903,"Ndfip1","Nedd4 family interacting protein 1",451.476205798024,598.18263806734,324.241771480681,461.1117762894,447.814332255125,256.276515766946
"ENSMUSG00000024426",190.577790667886,-0.287797909243028,0.236043705644889,-1.21925686794631,0.222746713803651,0.628250060157324,"Atat1","alpha tubulin acetyltransferase 1",252,232,160,232,166,184
"ENSMUSG00000024427",123.705695998065,0.0242440475792726,0.484584139102245,0.0500306254847463,0.960097983265918,0.993971273461849,"Spry4","sprouty RTK signaling antagonist 4",186,186,134,174,122,121
"ENSMUSG00000024429",648.940978882521,-0.234659512936312,0.129501647515226,-1.81201951819742,0.0699831807006852,0.357388275265956,"Gnl1","guanine nucleotide binding protein-like 1",612.663515840862,737.837431986421,464.801324492214,728.012804346505,571.368862557712,488.159968000037
"ENSMUSG00000024430",27.3428065741184,-1.76409763895108,0.699119879878671,-2.52331208097993,0.0116255177339495,0.114996967117733,"Cabyr","calcium binding tyrosine phosphorylation regulated",9.70607585169282,7.17067766128646,3.23579866626756,24.2381834029477,15.4491469505294,16.1188554585613
"ENSMUSG00000024431",1982.56802242604,0.200484572848552,0.146255027402881,1.37078756476718,0.170441188512768,0.555265434451751,"Nr3c1","nuclear receptor subfamily 3, group C, member 1",2743,3267,1889,2214,1960,1862
"ENSMUSG00000024436",693.471753872959,0.0300114717979797,0.124135193645723,0.241764409564874,0.808962717955807,0.959620001298274,"Mrps18b","mitochondrial ribosomal protein S18B",1008,939,712,786,721,669
"ENSMUSG00000024437",0.797610930989091,-1.81169595627008,3.366580406651,-0.538141299905062,0.590479501695452,NA,"Gm8615","predicted pseudogene 8615",0,2.35674403812439,0,0,1.17310611793692,3.5648476263947
"ENSMUSG00000024440",2.89968501335619,0.959185960734122,1.53258129245911,0.625863023027676,0.531404789955661,NA,"Pcdh12","protocadherin 12",6,5.59233435034193,4,5.08050086014654,0,1.69269776999044
"ENSMUSG00000024442",456.682021689788,0.312081410780966,0.152920838257413,2.04080368860938,0.0412703437983335,0.262869435630053,"Dele1","DAP3 binding cell death enhancer 1",654.851605408891,792.134272880293,544.285739017955,484.516878735247,434.75563551149,416.719092371556
"ENSMUSG00000024446",168.315840206493,-0.151495244799402,0.218300214912528,-0.693976617751409,0.487696872632725,0.83490052906304,"Rpp21","ribonuclease P 21 subunit",178,180,143,219,149,107
"ENSMUSG00000024451",2.59938009262701,-0.979490303971971,2.68847979003341,-0.364328684040358,0.71561258282642,NA,"Arap3","ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3",2.72226584766584,0,0,5,0,0
"ENSMUSG00000024454",642.436806045775,0.270212945172129,0.114476329661227,2.36042635164646,0.0182539424603773,0.156860237012649,"Hdac3","histone deacetylase 3",917,784,734.790235930118,595,534.014583425787,547
"ENSMUSG00000024456",1633.21731557826,0.00151500492950551,0.13327439617682,0.0113675617595408,0.990930193314121,0.999119601398916,"Diaph1","diaphanous related formin 1",2170,2353,1462,2036,1363,1527
"ENSMUSG00000024457",630.417599707333,0.0243704927109979,0.218781862957885,0.111391741442887,0.911305708679736,0.986330065424803,"Trim26","tripartite motif-containing 26",949.26505015266,979.626882248941,667.223345085378,748.041582302067,647.545735897207,638.40556043086
"ENSMUSG00000024462",19.6113034729007,-1.60704688773667,0.775155638592693,-2.07319254060292,0.038154364327643,0.250433761725562,"Gabbr1","gamma-aminobutyric acid type B receptor subunit 1",13.0086267704698,17.0467665363621,9.83209857786643,27,31.0452966745188,21.0589313486405
"ENSMUSG00000024472",261.888276119207,0.134057093832406,0.136257816536201,0.983848833338597,0.325189844635475,0.725281755533924,"Dcp2","decapping mRNA 2",383.376480723064,396.087313959107,227.244678558397,267.383090630362,260.301684058321,229.351771547002
"ENSMUSG00000024474",1619.84246516548,-0.0510729329858085,0.121916977986794,-0.418915673839462,0.675277761685605,0.913699701068009,"Ik","IK cytokine",2462.6872558905,2115.62013265648,1545.45930385566,2145.74804907695,1647.56621272273,1498.92615026938
"ENSMUSG00000024477",1.77075475109515,-5.35036254722373,5.89854049681881,-0.907065493592741,0.364372164237567,NA,"Pggt1b","protein geranylgeranyltransferase type I, beta subunit",0,0,0,0,19.040176345504,0
"ENSMUSG00000024479",1297.52551502707,0.110889564370639,0.13860367679873,0.800047783232074,0.423683112898554,0.797746219630069,"Mal2","mal, T cell differentiation protein 2",1772,2440,1747,1603,1484,1528
"ENSMUSG00000024480",581.767419342098,0.00698807304336965,0.206314830487336,0.0338709196370572,0.972980082644868,0.996350719270441,"Ap3s1","adaptor-related protein complex 3, sigma 1 subunit",790.927541613228,669.530754633468,415.576831115487,700.940870682046,530.639553242678,327.409956803073
"ENSMUSG00000024483",921.157733138713,-0.0102552694432578,0.153197897244769,-0.0669413198725088,0.946628418291839,0.990856503405061,"Ankhd1","ankyrin repeat and KH domain containing 1",1141.03016570494,1082.00199872684,775.275403765906,925.345421596105,843.234201830503,675.088642076222
"ENSMUSG00000024485",0.437174033958712,-1.22491568993112,6.00582262383834,-0.203954689748775,0.838388906938131,NA,"Slc4a9","solute carrier family 4, sodium bicarbonate cotransporter, member 9",0,0,0,1.20222926632235,0,0
"ENSMUSG00000024486",19.7908469545568,-0.946614595815181,0.625736428439158,-1.51280084200376,0.130330254893662,0.487746722319534,"Hbegf","heparin-binding EGF-like growth factor",13,11,7.863805075687,18.513535490203,27,5.61768709176825
"ENSMUSG00000024487",831.647507118093,-0.00475305666821003,0.104574170311806,-0.0454515360154228,0.963747403601522,0.993971273461849,"Yipf5","Yip1 domain family, member 5",1328.54248327332,1365.27297503204,958.441906477912,1215.84288385666,987.694880111661,860.199071080628
"ENSMUSG00000024491",132.047820337658,0.101108433556144,0.594011171284207,0.170213016932923,0.8648426150675,0.975854883769721,"Rbm27","RNA binding motif protein 27",160.106093291151,233.584029381858,43.3549438214119,64.919597605616,81.924006574799,161.955574885234
"ENSMUSG00000024493",610.313111494994,0.00791098557324774,0.159529167157514,0.0495895873726758,0.960449444497012,0.993971273461849,"Lars1","leucyl-tRNA synthetase 1",806.089806941237,855.777745882176,661.250132747325,571.100899036267,651.527023470077,692.938486863608
"ENSMUSG00000024498",248.111348083559,-0.0311950589271135,0.23910524996034,-0.130465805047308,0.896197906490789,0.983374811420726,"Tcerg1","transcription elongation regulator 1 (CA150)",345.847930442105,313.532281738107,308.357331387982,211.089570078525,323.514444605117,297.326802468224
"ENSMUSG00000024500",5.39985470571771,0.303657778442611,0.847088540398436,0.358472301254109,0.719989892859125,0.930332635839272,"Ppp2r2b","protein phosphatase 2, regulatory subunit B, beta",3.95737536639042,4,10.9999871890898,6.62034534408491,5.29089460814299,3
"ENSMUSG00000024501",11.6117389341297,-2.14394881162572,0.697378634806683,-3.07429666556969,0.00210999499154236,0.0342111460111072,"Dpysl3","dihydropyrimidinase-like 3",8,10,12.1061873784595,16,23,8
"ENSMUSG00000024502",0.660064686256473,-0.100415520959016,2.25210818651825,-0.0445873433435086,0.964436231176154,NA,"Jakmip2","janus kinase and microtubule interacting protein 2",0,1,2,1,2,0
"ENSMUSG00000024503",0.909991184917562,-4.56471494120343,2.19522131729296,-2.07938712386067,0.0375817830308359,NA,"Spink1","serine peptidase inhibitor, Kazal type 1",0,0,0,3,5,3
"ENSMUSG00000024505",47.7944957121107,-0.307220842139085,0.30065383184928,-1.02184243004458,0.306855483714202,0.707846878988264,"Dtwd2","DTW domain containing 2",57.0891911345763,66.7296639733507,45.1475904036758,84.8262909861389,53.5323258656227,53.4996714926438
"ENSMUSG00000024507",12505.2013734026,0.418526387926797,0.12554359832816,3.33371349475587,0.000856948779134931,0.0168908781518117,"Hsd17b4","hydroxysteroid (17-beta) dehydrogenase 4",16457,15760,11565,12042,8515,7086
"ENSMUSG00000024511",14.2438376229186,0.0681569562700681,0.432937237068559,0.157429184727935,0.874906614138966,0.978850830809957,"Rab27b","RAB27B, member RAS oncogene family",17.0801152851468,22.221141215578,20.0338688978791,16.689129424341,9.55070893198126,13
"ENSMUSG00000024512",44.2195669072579,-0.233586697393527,0.312860932069229,-0.746615104188974,0.455295928425869,0.818661887509345,"Dynap","dynactin associated protein",54,57,45,49,43,60
"ENSMUSG00000024513",762.509025384079,-0.125026635134411,0.141233325027628,-0.885248825728297,0.376022443764295,0.763836731555906,"Mbd2","methyl-CpG binding domain protein 2",786,799,545,667,808,470
"ENSMUSG00000024515",660.408481281077,-0.237236083735141,0.210492785151369,-1.12705090373782,0.259720959498075,0.664625525779188,"Smad4","SMAD family member 4",730,749,534,648,574,592
"ENSMUSG00000024516",377.413926856102,-0.112749706540714,0.187908128948044,-0.600025699643303,0.548489108125332,0.862717161140983,"Sec11c","SEC11 homolog C, signal peptidase complex subunit",564.972151363974,480.83292043237,349.980204975568,444.195030464183,425.980417329006,328.969923832185
"ENSMUSG00000024518",2.37535342510713,-0.367426173855676,1.15612716896487,-0.317807749630732,0.750630771893677,NA,"Rax","retina and anterior neural fold homeobox",1.70623163009868,2.50731719768598,4,3.15937755402679,3.86087203056885,2.50772877001366
"ENSMUSG00000024519",16.0808459720589,-1.15519327007928,0.489889340699652,-2.3580698212977,0.0183702374017412,0.157438951759046,"Cplx4","complexin 4",14,13,11.2239717028148,27,24,20
"ENSMUSG00000024521",1.41510662077597,-0.40773781412686,3.67402504049619,-0.11097850712302,0.911633390267189,NA,"Pmaip1","phorbol-12-myristate-13-acetate-induced protein 1",0,5,0,0,5.19307878819595,0
"ENSMUSG00000024524",22.1953892947661,-0.701587550013006,0.550409038641174,-1.27466574993945,0.202427574510023,0.604250867034496,"Gnal","guanine nucleotide binding protein, alpha stimulating, olfactory type",23.0828305014684,1,9.41667572153242,18.2341979474472,18.2318080508157,12.8314788524688
"ENSMUSG00000024525",122.125150365526,-1.5977936448544,0.261038708152904,-6.12090695728732,9.30442254689545e-10,9.93955008675396e-08,"Impa2","inositol monophosphatase 2",62.8223268874993,64.3400041015288,81.2812642724109,165.857270801712,180.241260607434,190.391610241496
"ENSMUSG00000024526",0.943270774021073,0,3.39136088441718,0,1,NA,"Cidea","cell death-inducing DNA fragmentation factor, alpha subunit-like effector A",0,0,0,0,0,0
"ENSMUSG00000024527",2254.48605190997,-0.2462510939051,0.085380535940376,-2.88415961779703,0.00392459773610922,0.0538784281796722,"Afg3l2","AFG3-like AAA ATPase 2",2479.67237780543,2607.93441948096,1959.14504964648,2237.86238671823,2502.05200793304,2216.86419883907
"ENSMUSG00000024528",129.216277114941,-0.0350636373546697,0.175202687157291,-0.200131846854556,0.84137746698323,0.969397597344668,"Srfbp1","serum response factor binding protein 1",142.47754077686,151.678389513434,141.324655390785,152.093227486728,109.898360025629,114.764353161907
"ENSMUSG00000024529",0.802001253204766,-0.922767717037522,2.34397359773457,-0.39367666851255,0.693819769042674,NA,"Lox","lysyl oxidase",2,0,0,1,1,1
"ENSMUSG00000024533",7.00527916034259,-0.706327122213126,0.88174060791653,-0.801059989606366,0.423096917531016,0.797419254721344,"Spire1","spire type actin nucleation factor 1",6.52622608078572,6.58303777426934,6.50984471941182,10,13.0392733310273,6.52698484921342
"ENSMUSG00000024534",0.732383540258392,-1.76444206046732,3.38804882305756,-0.520784130517634,0.602517159328593,NA,"Sncaip","synuclein, alpha interacting protein (synphilin)",0,0,0,1,1,0
"ENSMUSG00000024535",181.267849353138,-0.0173662160936247,0.243009856275859,-0.0714630112529715,0.94302926200676,0.990481249322216,"Snx24","sorting nexing 24",220.754513220341,272.209302983993,146,201.184302567191,159.013420826324,170.79276355818
"ENSMUSG00000024537",155.026893787619,-0.214838731381944,0.156516380013215,-1.37262778096328,0.169868090849938,0.554074750501484,"Psmg2","proteasome (prosome, macropain) assembly chaperone 2",182.49638898087,177.119834673433,152.984057991646,155.724004042073,203.010780579022,138.07892357615
"ENSMUSG00000024538",39.0293534294633,-0.597896496245697,0.363510205058812,-1.64478600029664,0.100013950212562,0.433729656040438,"Ppic","peptidylprolyl isomerase C",36,56,24,40,46,56
"ENSMUSG00000024539",234.278914890923,0.0161097456761602,0.17504437551877,0.0920323525301315,0.926672335059121,0.989332860768431,"Ptpn2","protein tyrosine phosphatase, non-receptor type 2",303,337,222,266,258,185
"ENSMUSG00000024542",30.6389887168687,-0.109852863739449,0.331878007880598,-0.331003745746754,0.740641656197739,0.937644661043967,"Cep192","centrosomal protein 192",50.074551853979,48.6295688898211,27.7260926973672,44.5235138589316,28.622414458723,39.0680529536269
"ENSMUSG00000024544",101.107821046741,0.125009721851361,0.28804870231348,0.433988144530205,0.6642970501766,0.909916221951434,"Ldlrad4","low density lipoprotein receptor class A domain containing 4",100,92,32,54,69,43
"ENSMUSG00000024548",13.3094847110428,-2.85093193650367,0.691770664035181,-4.1212096504264,3.76888251522971e-05,0.00121478184258998,"Setbp1","SET binding protein 1",8,2,2,27,17,27
"ENSMUSG00000024556",18.4762603077085,0.362073843259137,0.410663419683852,0.881680290730249,0.377949722188722,0.765606258994578,"Me2","malic enzyme 2, NAD(+)-dependent, mitochondrial",29,28.8268842811168,21,16.7267476072675,16,18
"ENSMUSG00000024558",35.5074628170534,0.188064436172556,0.599247147948911,0.313834511880879,0.753646730961289,0.943544428442311,"Mapk4","mitogen-activated protein kinase 4",23,20,17,37,9,11
