From,To
P35282,ENSMUSG00000020132.11
P35285,ENSMUSG00000027519.11
P35290,ENSMUSG00000034789.9
P35292,ENSMUSG00000026304.14
P35293,ENSMUSG00000073639.7
P35486,ENSMUSG00000031299.11
P35492,ENSMUSG00000020017.15
P35505,ENSMUSG00000030630.17
P35550,ENSMUSG00000046865.8
P35564,ENSMUSG00000020368.16
P35576,ENSMUSG00000078650.3
P35582,ENSMUSG00000035451.8
P35583,ENSMUSG00000037025.12
P35585,ENSMUSG00000003033.16
P35700,ENSMUSG00000028691.13
P35762,ENSMUSG00000037706.18
P35821,ENSMUSG00000027540.14
P35822,ENSMUSG00000019889.11
P35831,ENSMUSG00000028771.14
P35951,ENSMUSG00000032193.10
P35979,ENSMUSG00000038900.18
P35980,ENSMUSG00000059070.17
P36371,ENSMUSG00000024339.13
P36552,ENSMUSG00000022742.7
P36916,ENSMUSG00000024429.10
P36993,ENSMUSG00000061130.14
P37040,ENSMUSG00000005514.15
P38060,ENSMUSG00000028672.14
P38647,ENSMUSG00000024359.11
P39039,ENSMUSG00000037780.4
P39054,ENSMUSG00000033335.19
P39061,ENSMUSG00000001435.16
P39098,ENSMUSG00000008763.17
P39447,ENSMUSG00000030516.15
P40124,ENSMUSG00000028656.15
P40142,ENSMUSG00000021957.8
P40201,ENSMUSG00000023852.15
P40237,ENSMUSG00000027215.14
P40240,ENSMUSG00000030342.9
P40336,ENSMUSG00000020078.17
P40630,ENSMUSG00000003923.15
P40936,ENSMUSG00000003477.6
P41105,ENSMUSG00000030432.13
P41216,ENSMUSG00000018796.14
P41233,ENSMUSG00000015243.5
P41241,ENSMUSG00000032312.8
P41317,ENSMUSG00000024863.7
P42125,ENSMUSG00000024132.7
P42128,ENSMUSG00000056493.10
P42208,ENSMUSG00000026276.21
P42227,ENSMUSG00000004040.17
P42230,ENSMUSG00000004043.15
P42232,ENSMUSG00000020919.12
P42337,ENSMUSG00000027665.14
P42567,ENSMUSG00000028552.14
P42669,ENSMUSG00000043991.6
P42703,ENSMUSG00000054263.13
P42867,ENSMUSG00000032123.6
P42932,ENSMUSG00000025613.14
P43006,ENSMUSG00000005089.16
P43024,ENSMUSG00000041697.10
P43247,ENSMUSG00000024151.14
P43274,ENSMUSG00000051627.4
P43276,ENSMUSG00000058773.3
P43277,ENSMUSG00000052565.8
P43406,ENSMUSG00000027087.12
P43883,ENSMUSG00000028494.13
P45376,ENSMUSG00000001642.19
P45591,ENSMUSG00000062929.9
P45700,ENSMUSG00000003746.17
P45878,ENSMUSG00000056629.17
P45952,ENSMUSG00000062908.13
P46061,ENSMUSG00000022391.17
P46096,ENSMUSG00000035864.15
P46412,ENSMUSG00000018339.13
P46414,ENSMUSG00000003031.15
P46425,ENSMUSG00000038155.12
P46460,ENSMUSG00000034187.19
P46467,ENSMUSG00000009907.18
P46471,ENSMUSG00000028932.9
P46638,ENSMUSG00000077450.14
P46656,ENSMUSG00000032051.10
P46664,ENSMUSG00000015961.9
P46735,ENSMUSG00000018417.15
P46737,ENSMUSG00000031201.18
P46935,ENSMUSG00000032216.16
P46938,ENSMUSG00000053110.14
P46978,ENSMUSG00000032116.19
P47199,ENSMUSG00000028199.19
P47738,ENSMUSG00000029455.15
P47740,ENSMUSG00000010025.20
P47754,ENSMUSG00000015733.14
P47757,ENSMUSG00000028745.19
P47758,ENSMUSG00000032553.15
P47791,ENSMUSG00000031584.17
P47809,ENSMUSG00000033352.12
P47811,ENSMUSG00000053436.16
P47856,ENSMUSG00000029992.15
P47857,ENSMUSG00000033065.15
P47877,ENSMUSG00000039323.19
P47879,ENSMUSG00000017493.13
P47911,ENSMUSG00000029614.14
P47915,ENSMUSG00000048758.15
P47934,ENSMUSG00000026853.16
P47941,ENSMUSG00000006134.5
P47955,ENSMUSG00000007892.9
P47962,ENSMUSG00000058558.13
P47963,ENSMUSG00000000740.13
P47964,ENSMUSG00000057863.7
P47968,ENSMUSG00000053604.6
P48024,ENSMUSG00000035530.14
P48036,ENSMUSG00000027712.14
P48193,ENSMUSG00000028906.18
P48410,ENSMUSG00000031378.15
P48428,ENSMUSG00000042043.7
P48437,ENSMUSG00000010175.14
P48678,ENSMUSG00000028063.16
P48722,ENSMUSG00000025757.14
P48758,ENSMUSG00000051483.10
P48760,ENSMUSG00000009566.13
P48771,ENSMUSG00000032330.8
P48774,ENSMUSG00000004032.11
P48776,ENSMUSG00000028011.17
P48962,ENSMUSG00000031633.5
P49070,ENSMUSG00000021501.5
P49135,ENSMUSG00000024382.14
P49182,ENSMUSG00000022766.15
P49282,ENSMUSG00000023030.17
P49312,ENSMUSG00000046434.17
P49429,ENSMUSG00000029445.14
P49442,ENSMUSG00000026102.10
P49443,ENSMUSG00000021096.12
P49586,ENSMUSG00000005615.16
P49615,ENSMUSG00000028969.11
P49698,ENSMUSG00000017950.17
P49722,ENSMUSG00000015671.12
P49769,ENSMUSG00000019969.15
P49935,ENSMUSG00000032359.15
P49962,ENSMUSG00000026511.8
P50096,ENSMUSG00000003500.14
P50171,ENSMUSG00000073422.12
P50172,ENSMUSG00000016194.15
P50247,ENSMUSG00000027597.16
P50247,ENSMUSG00000048087.7
P50285,ENSMUSG00000040181.15
P50295,ENSMUSG00000051147.11
P50396,ENSMUSG00000015291.11
P50428,ENSMUSG00000022620.15
P50431,ENSMUSG00000020534.15
P50462,ENSMUSG00000030470.16
P50516,ENSMUSG00000052459.14
P50518,ENSMUSG00000019210.11
P50544,ENSMUSG00000018574.15
P50580,ENSMUSG00000025364.14
P50637,ENSMUSG00000041736.8
P51125,ENSMUSG00000021585.11
P51141,ENSMUSG00000029071.17
P51150,ENSMUSG00000079477.10
P51163,ENSMUSG00000030979.14
P51175,ENSMUSG00000062729.13
P51410,ENSMUSG00000047215.15
P51432,ENSMUSG00000024960.10
P51450,ENSMUSG00000028150.15
P51569,ENSMUSG00000031266.8
P51612,ENSMUSG00000030094.9
P51655,ENSMUSG00000031119.5
P51658,ENSMUSG00000031844.9
P51660,ENSMUSG00000024507.7
P51791,ENSMUSG00000004319.16
P51830,ENSMUSG00000005580.12
P51855,ENSMUSG00000027610.18
P51859,ENSMUSG00000004897.18
P51863,ENSMUSG00000013160.8
P51881,ENSMUSG00000016319.4
P51949,ENSMUSG00000021103.13
P52019,ENSMUSG00000022351.15
P52196,ENSMUSG00000044986.11
P52293,ENSMUSG00000018362.15
P52293,ENSMUSG00000066878.6
P52430,ENSMUSG00000002588.14
P52431,ENSMUSG00000038644.15
P52432,ENSMUSG00000067148.16
P52479,ENSMUSG00000031826.21
P52480,ENSMUSG00000032294.18
P52503,ENSMUSG00000021606.9
P52633,ENSMUSG00000002147.19
P52760,ENSMUSG00000022323.12
P52792,ENSMUSG00000041798.16
P52825,ENSMUSG00000028607.17
P52843,ENSMUSG00000078798.5
P53395,ENSMUSG00000000340.11
P53566,ENSMUSG00000034957.11
P53612,ENSMUSG00000038975.15
P53702,ENSMUSG00000031352.11
P53798,ENSMUSG00000021273.12
P53810,ENSMUSG00000017781.19
P53811,ENSMUSG00000050017.12
P53986,ENSMUSG00000032902.2
P53994,ENSMUSG00000047187.10
P53995,ENSMUSG00000014355.11
P53996,ENSMUSG00000030057.16
P54071,ENSMUSG00000030541.17
P54103,ENSMUSG00000029014.15
P54116,ENSMUSG00000026880.12
P54276,ENSMUSG00000005370.5
P54310,ENSMUSG00000003123.16
P54728,ENSMUSG00000028426.11
P54729,ENSMUSG00000028954.12
P54731,ENSMUSG00000010517.8
P54751,ENSMUSG00000013846.11
P54775,ENSMUSG00000030603.17
P54797,ENSMUSG00000013539.15
P54818,ENSMUSG00000021003.11
P54822,ENSMUSG00000022407.11
P54823,ENSMUSG00000032097.11
P54869,ENSMUSG00000027875.13
P55050,ENSMUSG00000023057.6
P55065,ENSMUSG00000017754.14
P55096,ENSMUSG00000028127.11
P55104,ENSMUSG00000025405.10
P55258,ENSMUSG00000003037.17
P55264,ENSMUSG00000039197.11
P55288,ENSMUSG00000031673.7
P55292,ENSMUSG00000024331.12
P55302,ENSMUSG00000029103.17
P56135,ENSMUSG00000038690.16
P56183,ENSMUSG00000061032.10
P56212,ENSMUSG00000007656.15
P56213,ENSMUSG00000040888.12
P56371,ENSMUSG00000019478.18
P56375,ENSMUSG00000060923.6
P56376,ENSMUSG00000008822.16
P56379,ENSMUSG00000021290.7
P56380,ENSMUSG00000028443.7
P56382,ENSMUSG00000016252.8
P56387,ENSMUSG00000031176.9
P56389,ENSMUSG00000028755.4
P56391,ENSMUSG00000036751.8
P56392,ENSMUSG00000074218.4
P56393,ENSMUSG00000031231.5
P56394,ENSMUSG00000046516.12
P56395,ENSMUSG00000024646.15
P56399,ENSMUSG00000038429.11
P56480,ENSMUSG00000025393.13
P56542,ENSMUSG00000003812.14
P56593,ENSMUSG00000060407.7
P56654,ENSMUSG00000042248.5
P56655,ENSMUSG00000032808.3
P56657,ENSMUSG00000025004.17
P56695,ENSMUSG00000039474.14
P56812,ENSMUSG00000030417.16
P56873,ENSMUSG00000079478.10
P56873,ENSMUSG00000118125.2
P56959,ENSMUSG00000030795.19
P56960,ENSMUSG00000017264.17
P57016,ENSMUSG00000041782.15
P57716,ENSMUSG00000003458.13
P57746,ENSMUSG00000021114.10
P57759,ENSMUSG00000029616.10
P57780,ENSMUSG00000054808.16
P57784,ENSMUSG00000030512.14
P57791,ENSMUSG00000024889.6
P58021,ENSMUSG00000025544.14
P58044,ENSMUSG00000058258.16
P58058,ENSMUSG00000029063.17
P58059,ENSMUSG00000054312.7
P58064,ENSMUSG00000039680.11
P58137,ENSMUSG00000017307.17
P58158,ENSMUSG00000071649.7
P58252,ENSMUSG00000034994.11
P58281,ENSMUSG00000038084.17
P58389,ENSMUSG00000039515.12
P58404,ENSMUSG00000030374.16
P58466,ENSMUSG00000026176.14
P58501,ENSMUSG00000022974.13
P58710,ENSMUSG00000034450.9
P58735,ENSMUSG00000046959.17
P58742,ENSMUSG00000036678.9
P58771,ENSMUSG00000032366.16
P58802,ENSMUSG00000034412.14
P58854,ENSMUSG00000000759.15
P58871,ENSMUSG00000033955.14
P59016,ENSMUSG00000030534.14
P59017,ENSMUSG00000009112.5
P59034,ENSMUSG00000051652.5
P59041,ENSMUSG00000061118.9
P59048,ENSMUSG00000027472.15
P59108,ENSMUSG00000034361.11
P59114,ENSMUSG00000039849.7
P59235,ENSMUSG00000040034.16
P59266,ENSMUSG00000048486.7
P59325,ENSMUSG00000021282.18
P59326,ENSMUSG00000038848.15
P59470,ENSMUSG00000034453.9
P59481,ENSMUSG00000001143.14
P59708,ENSMUSG00000037361.9
P59729,ENSMUSG00000044456.17
P59764,ENSMUSG00000035954.11
P59913,ENSMUSG00000051285.18
P59999,ENSMUSG00000079426.14
P60060,ENSMUSG00000078974.11
P60122,ENSMUSG00000030079.16
P60229,ENSMUSG00000022336.4
P60334,ENSMUSG00000033022.9
P60335,ENSMUSG00000051695.7
P60521,ENSMUSG00000031950.8
P60603,ENSMUSG00000067847.14
P60605,ENSMUSG00000009293.18
P60670,ENSMUSG00000039703.17
P60710,ENSMUSG00000029580.15
P60762,ENSMUSG00000062270.15
P60766,ENSMUSG00000006699.18
P60824,ENSMUSG00000045193.14
P60843,ENSMUSG00000059796.17
P60867,ENSMUSG00000028234.7
P60898,ENSMUSG00000019738.16
P60904,ENSMUSG00000000826.17
P61021,ENSMUSG00000000711.4
P61022,ENSMUSG00000014077.14
P61027,ENSMUSG00000020671.10
P61028,ENSMUSG00000036943.10
P61079,ENSMUSG00000078578.10
P61082,ENSMUSG00000005575.17
P61087,ENSMUSG00000029203.17
P61089,ENSMUSG00000074781.6
P61161,ENSMUSG00000020152.8
P61164,ENSMUSG00000025228.6
P61202,ENSMUSG00000027206.14
P61205,ENSMUSG00000051853.11
P61211,ENSMUSG00000060904.15
P61222,ENSMUSG00000058355.9
P61226,ENSMUSG00000036894.4
P61255,ENSMUSG00000060938.15
P61290,ENSMUSG00000078652.10
P61327,ENSMUSG00000028609.7
P61358,ENSMUSG00000063316.14
P61458,ENSMUSG00000020098.8
P61514,ENSMUSG00000046330.11
P61600,ENSMUSG00000002728.15
P61620,ENSMUSG00000030082.15
P61750,ENSMUSG00000021877.13
P61759,ENSMUSG00000031197.12
P61804,ENSMUSG00000022174.9
P61922,ENSMUSG00000057880.13
P61924,ENSMUSG00000060992.10
P61957,ENSMUSG00000020738.17
P61961,ENSMUSG00000027746.14
P61963,ENSMUSG00000049354.9
P61965,ENSMUSG00000026917.16
P61967,ENSMUSG00000004849.15
P61971,ENSMUSG00000008450.9
P61971,ENSMUSG00000071497.5
P61979,ENSMUSG00000021546.19
P61982,ENSMUSG00000051391.10
P62046,ENSMUSG00000068015.9
P62069,ENSMUSG00000054814.15
P62071,ENSMUSG00000055723.7
P62073,ENSMUSG00000027076.11
P62075,ENSMUSG00000020219.8
P62077,ENSMUSG00000039016.6
P62082,ENSMUSG00000061477.5
P62137,ENSMUSG00000040385.8
P62141,ENSMUSG00000014956.16
P62192,ENSMUSG00000021178.10
P62196,ENSMUSG00000020708.13
P62242,ENSMUSG00000047675.16
P62245,ENSMUSG00000008683.17
P62257,ENSMUSG00000039159.17
P62259,ENSMUSG00000020849.14
P62264,ENSMUSG00000024608.12
P62267,ENSMUSG00000049517.9
P62270,ENSMUSG00000008668.16
P62274,ENSMUSG00000034892.9
P62281,ENSMUSG00000003429.12
P62301,ENSMUSG00000090862.4
P62305,ENSMUSG00000090553.9
P62307,ENSMUSG00000020018.7
P62309,ENSMUSG00000057278.9
P62311,ENSMUSG00000034192.6
P62313,ENSMUSG00000031683.17
P62315,ENSMUSG00000002477.6
P62317,ENSMUSG00000040824.4
P62320,ENSMUSG00000020180.11
P62322,ENSMUSG00000091625.9
P62331,ENSMUSG00000044147.9
P62334,ENSMUSG00000021832.9
P62342,ENSMUSG00000075700.11
P62488,ENSMUSG00000071662.5
P62509,ENSMUSG00000026610.14
P62627,ENSMUSG00000047459.15
P62700,ENSMUSG00000039770.7
P62702,ENSMUSG00000031320.10
P62717,ENSMUSG00000045128.10
P62743,ENSMUSG00000008036.12
P62746,ENSMUSG00000054364.6
P62748,ENSMUSG00000071379.3
P62751,ENSMUSG00000058546.9
P62754,ENSMUSG00000028495.15
P62774,ENSMUSG00000029840.9
P62806,ENSMUSG00000067455.6
P62806,ENSMUSG00000060093.7
P62806,ENSMUSG00000069266.6
P62806,ENSMUSG00000060678.6
P62806,ENSMUSG00000061482.8
P62806,ENSMUSG00000069274.4
P62806,ENSMUSG00000060981.8
P62806,ENSMUSG00000060639.6
P62806,ENSMUSG00000069305.4
P62806,ENSMUSG00000064288.5
P62806,ENSMUSG00000069306.6
P62806,ENSMUSG00000091405.3
P62806,ENSMUSG00000096010.3
P62814,ENSMUSG00000006273.15
P62821,ENSMUSG00000020149.18
P62827,ENSMUSG00000029430.14
P62830,ENSMUSG00000071415.7
P62835,ENSMUSG00000068798.11
P62838,ENSMUSG00000091896.10
P62843,ENSMUSG00000063457.15
P62849,ENSMUSG00000025290.18
P62852,ENSMUSG00000009927.10
P62855,ENSMUSG00000025362.7
P62858,ENSMUSG00000067288.14
P62862,ENSMUSG00000038274.14
P62869,ENSMUSG00000055839.7
P62874,ENSMUSG00000029064.16
P62878,ENSMUSG00000022400.10
P62880,ENSMUSG00000029713.16
P62889,ENSMUSG00000058600.14
P62892,ENSMUSG00000079641.4
P62897,ENSMUSG00000058927.7
P62897,ENSMUSG00000063694.6
P62900,ENSMUSG00000073702.12
P62908,ENSMUSG00000030744.14
P62911,ENSMUSG00000057841.6
P62915,ENSMUSG00000028271.10
P62918,ENSMUSG00000003970.10
P62960,ENSMUSG00000028639.15
P62962,ENSMUSG00000018293.5
P62983,ENSMUSG00000020460.16
P62984,ENSMUSG00000090137.9
P62984,ENSMUSG00000068240.6
P62996,ENSMUSG00000022858.17
P63001,ENSMUSG00000001847.15
P63005,ENSMUSG00000020745.16
P63011,ENSMUSG00000031840.15
P63017,ENSMUSG00000015656.18
P63024,ENSMUSG00000028955.4
P63028,ENSMUSG00000060126.15
P63030,ENSMUSG00000023861.19
P63037,ENSMUSG00000028410.14
P63038,ENSMUSG00000025980.15
P63073,ENSMUSG00000028156.13
P63082,ENSMUSG00000024121.14
P63085,ENSMUSG00000063358.18
P63094,ENSMUSG00000027523.21
P63101,ENSMUSG00000022285.18
P63139,ENSMUSG00000020248.19
P63154,ENSMUSG00000001767.6
P63158,ENSMUSG00000066551.13
P63163,ENSMUSG00000102252.6
P63166,ENSMUSG00000026021.16
P63242,ENSMUSG00000078812.11
P63271,ENSMUSG00000020485.15
P63276,ENSMUSG00000061787.16
P63280,ENSMUSG00000015120.17
P63300,ENSMUSG00000041571.11
P63321,ENSMUSG00000008859.9
P63323,ENSMUSG00000061983.8
P63325,ENSMUSG00000052146.17
P63328,ENSMUSG00000028161.18
P63330,ENSMUSG00000020349.5
P67778,ENSMUSG00000038845.12
P67871,ENSMUSG00000024387.14
P67984,ENSMUSG00000028936.16
P68033,ENSMUSG00000068614.8
P68037,ENSMUSG00000038965.18
P68040,ENSMUSG00000020372.16
P68181,ENSMUSG00000005034.16
P68254,ENSMUSG00000076432.14
P68368,ENSMUSG00000026202.14
P68372,ENSMUSG00000036752.5
P68373,ENSMUSG00000043091.10
P68433,ENSMUSG00000099517.3
P68433,ENSMUSG00000069265.3
P68433,ENSMUSG00000101355.2
P68433,ENSMUSG00000101972.2
P68510,ENSMUSG00000018965.12
P69566,ENSMUSG00000038546.10
P70121,ENSMUSG00000022361.15
P70122,ENSMUSG00000025337.11
P70158,ENSMUSG00000019872.14
P70168,ENSMUSG00000001440.6
P70175,ENSMUSG00000000881.13
P70182,ENSMUSG00000028126.17
P70191,ENSMUSG00000026637.15
P70195,ENSMUSG00000026750.7
P70196,ENSMUSG00000027164.9
P70227,ENSMUSG00000042644.10
P70245,ENSMUSG00000031168.15
P70255,ENSMUSG00000055053.19
P70257,ENSMUSG00000001911.17
P70266,ENSMUSG00000025271.14
P70268,ENSMUSG00000057672.17
P70274,ENSMUSG00000064373.14
P70279,ENSMUSG00000036160.14
P70290,ENSMUSG00000031402.13
P70295,ENSMUSG00000068328.11
P70296,ENSMUSG00000032959.13
P70297,ENSMUSG00000026718.18
P70302,ENSMUSG00000030987.6
P70303,ENSMUSG00000031360.15
P70318,ENSMUSG00000030846.17
P70333,ENSMUSG00000045427.14
P70335,ENSMUSG00000024290.10
P70340,ENSMUSG00000031681.17
P70349,ENSMUSG00000020267.7
P70353,ENSMUSG00000032897.18
P70362,ENSMUSG00000005262.14
P70372,ENSMUSG00000040028.11
P70375,ENSMUSG00000031443.8
P70387,ENSMUSG00000006611.16
P70404,ENSMUSG00000002010.18
P70441,ENSMUSG00000020733.4
P70444,ENSMUSG00000004446.13
P70452,ENSMUSG00000030805.15
P70460,ENSMUSG00000030403.10
P70665,ENSMUSG00000001942.9
P70670,ENSMUSG00000061315.15
P70671,ENSMUSG00000003184.16
P70677,ENSMUSG00000031628.10
P70691,ENSMUSG00000090171.2
P70694,ENSMUSG00000021210.17
P70697,ENSMUSG00000028684.15
P70698,ENSMUSG00000028633.8
P70699,ENSMUSG00000025579.15
P70700,ENSMUSG00000027395.16
P80313,ENSMUSG00000030007.9
P80314,ENSMUSG00000034024.9
P80315,ENSMUSG00000007739.11
P80316,ENSMUSG00000022234.16
P80318,ENSMUSG00000001416.14
P81117,ENSMUSG00000030659.15
P83093,ENSMUSG00000039156.20
P83741,ENSMUSG00000045962.17
P83870,ENSMUSG00000061360.9
P83877,ENSMUSG00000057130.13
P83882,ENSMUSG00000049751.7
P83882,ENSMUSG00000079435.10
P83887,ENSMUSG00000035198.10
P83917,ENSMUSG00000018666.14
P83940,ENSMUSG00000079658.10
P84078,ENSMUSG00000048076.15
P84084,ENSMUSG00000020440.15
P84089,ENSMUSG00000021131.15
P84089,ENSMUSG00000063412.5
P84091,ENSMUSG00000022841.16
P84096,ENSMUSG00000073982.12
P84099,ENSMUSG00000017404.13
P84104,ENSMUSG00000071172.14
P84228,ENSMUSG00000100210.3
P84228,ENSMUSG00000069267.3
P84228,ENSMUSG00000069310.5
P84228,ENSMUSG00000074403.3
P84228,ENSMUSG00000099583.3
P84228,ENSMUSG00000069273.3
P84228,ENSMUSG00000081058.6
P84228,ENSMUSG00000093769.5
P85094,ENSMUSG00000086784.3
P97287,ENSMUSG00000038612.17
P97290,ENSMUSG00000023224.13
P97298,ENSMUSG00000000753.16
P97300,ENSMUSG00000032336.19
P97314,ENSMUSG00000020186.8
P97325,ENSMUSG00000028538.13
P97348,ENSMUSG00000041845.12
P97351,ENSMUSG00000028081.7
P97352,ENSMUSG00000042312.12
P97360,ENSMUSG00000030199.17
P97363,ENSMUSG00000021036.11
P97364,ENSMUSG00000049091.8
P97370,ENSMUSG00000032412.9
P97371,ENSMUSG00000022216.18
P97372,ENSMUSG00000078153.4
P97372,ENSMUSG00000079197.11
P97376,ENSMUSG00000031590.9
P97379,ENSMUSG00000029405.17
P97384,ENSMUSG00000021866.16
P97390,ENSMUSG00000015747.6
P97393,ENSMUSG00000035133.10
P97429,ENSMUSG00000029994.18
P97431,ENSMUSG00000026638.16
P97432,ENSMUSG00000017119.21
P97434,ENSMUSG00000005417.18
P97449,ENSMUSG00000039062.16
P97450,ENSMUSG00000022890.14
P97452,ENSMUSG00000022557.12
P97461,ENSMUSG00000012848.16
P97470,ENSMUSG00000030697.8
P97471,ENSMUSG00000024515.14
P97478,ENSMUSG00000030652.12
P97493,ENSMUSG00000005354.17
P97494,ENSMUSG00000032350.10
P97496,ENSMUSG00000032481.18
P97499,ENSMUSG00000006281.9
P97501,ENSMUSG00000026691.11
P97742,ENSMUSG00000024900.6
P97760,ENSMUSG00000031783.11
P97765,ENSMUSG00000034341.18
P97770,ENSMUSG00000030264.15
P97785,ENSMUSG00000025089.16
P97792,ENSMUSG00000022865.15
P97798,ENSMUSG00000032340.9
P97801,ENSMUSG00000021645.17
P97807,ENSMUSG00000026526.15
P97819,ENSMUSG00000042632.18
P97821,ENSMUSG00000030560.18
P97822,ENSMUSG00000015749.13
P97823,ENSMUSG00000025903.15
P97855,ENSMUSG00000018583.6
P97858,ENSMUSG00000020873.16
P97863,ENSMUSG00000008575.18
P97864,ENSMUSG00000025076.13
P97865,ENSMUSG00000020003.17
P97868,ENSMUSG00000030779.17
P97872,ENSMUSG00000028088.15
P97930,ENSMUSG00000026281.16
P98064,ENSMUSG00000022887.10
P98083,ENSMUSG00000042626.14
P98192,ENSMUSG00000031985.10
P99024,ENSMUSG00000001525.11
P99025,ENSMUSG00000046814.4
P99026,ENSMUSG00000005779.13
P99027,ENSMUSG00000025508.14
P99028,ENSMUSG00000063882.13
P99029,ENSMUSG00000024953.18
Q00422,ENSMUSG00000008976.17
Q00519,ENSMUSG00000024066.10
Q00560,ENSMUSG00000021756.13
Q00612,ENSMUSG00000031400.11
Q00623,ENSMUSG00000032083.9
Q00724,ENSMUSG00000024990.14
Q00897,ENSMUSG00000071177.5
Q00898,ENSMUSG00000072849.11
Q00899,ENSMUSG00000021264.13
Q00915,ENSMUSG00000046402.11
Q00977,ENSMUSG00000046352.8
Q00PI9,ENSMUSG00000071659.5
Q01237,ENSMUSG00000021670.15
Q01279,ENSMUSG00000020122.17
Q01339,ENSMUSG00000000049.12
Q01405,ENSMUSG00000020986.14
Q01768,ENSMUSG00000020857.12
Q01853,ENSMUSG00000028452.8
Q02053,ENSMUSG00000001924.16
Q02248,ENSMUSG00000006932.18
Q02257,ENSMUSG00000001552.15
Q02614,ENSMUSG00000020755.10
Q02780,ENSMUSG00000028565.19
Q02819,ENSMUSG00000030824.18
Q02956,ENSMUSG00000029053.17
Q03141,ENSMUSG00000007411.17
Q03145,ENSMUSG00000006445.4
Q03160,ENSMUSG00000019312.11
Q03265,ENSMUSG00000025428.16
Q03311,ENSMUSG00000027792.12
Q03734,ENSMUSG00000079012.12
Q03963,ENSMUSG00000024079.5
Q04207,ENSMUSG00000024927.9
Q04519,ENSMUSG00000037049.10
Q04736,ENSMUSG00000014932.16
Q04750,ENSMUSG00000070544.7
Q04899,ENSMUSG00000026437.13
Q05117,ENSMUSG00000001348.16
Q05421,ENSMUSG00000025479.10
Q05816,ENSMUSG00000027533.11
Q05915,ENSMUSG00000037580.11
Q05CL8,ENSMUSG00000027968.12
Q05D44,ENSMUSG00000026083.13
Q06138,ENSMUSG00000036707.17
Q06180,ENSMUSG00000024539.18
Q06185,ENSMUSG00000050856.17
Q06335,ENSMUSG00000031996.18
Q06770,ENSMUSG00000060807.8
Q06890,ENSMUSG00000022037.16
Q07076,ENSMUSG00000021814.18
Q07113,ENSMUSG00000023830.15
Q07417,ENSMUSG00000029545.14
Q07456,ENSMUSG00000028356.5
Q07797,ENSMUSG00000033880.12
Q07813,ENSMUSG00000003873.12
Q07968,ENSMUSG00000026368.7
Q08288,ENSMUSG00000067367.10
Q08369,ENSMUSG00000021944.16
Q08761,ENSMUSG00000022912.9
Q08857,ENSMUSG00000002944.16
Q08890,ENSMUSG00000035847.16
Q08943,ENSMUSG00000027067.17
Q09200,ENSMUSG00000006731.11
Q09XV5,ENSMUSG00000053754.15
Q0P5W1,ENSMUSG00000033653.20
Q0P678,ENSMUSG00000017478.16
Q0VBL3,ENSMUSG00000048109.11
Q11011,ENSMUSG00000001441.14
Q11136,ENSMUSG00000063931.15
Q148V8,ENSMUSG00000046761.14
Q148W0,ENSMUSG00000039529.10
Q149F3,ENSMUSG00000071723.8
Q14AI6,ENSMUSG00000051169.15
Q14AX6,ENSMUSG00000003119.15
Q14B48,ENSMUSG00000037973.7
Q14C51,ENSMUSG00000063884.7
Q14CH1,ENSMUSG00000039616.11
Q14CH7,ENSMUSG00000023938.9
Q14DH7,ENSMUSG00000035948.14
Q14DQ1,ENSMUSG00000032305.16
Q1HFZ0,ENSMUSG00000021595.19
Q283N4,ENSMUSG00000075543.5
Q2EMV9,ENSMUSG00000034422.15
Q2HXL6,ENSMUSG00000043019.13
Q2PFD7,ENSMUSG00000030465.21
Q2TBE6,ENSMUSG00000025178.10
Q2TPA8,ENSMUSG00000028383.18
Q31125,ENSMUSG00000024327.17
Q32NY4,ENSMUSG00000001138.14
Q33DR2,ENSMUSG00000026784.15
Q33DR3,ENSMUSG00000038240.14
Q3B7Z2,ENSMUSG00000024687.12
Q3KNM2,ENSMUSG00000023307.15
Q3T9X0,ENSMUSG00000005107.14
Q3TA59,ENSMUSG00000025736.16
Q3TAA7,ENSMUSG00000026213.16
Q3TAP4,ENSMUSG00000049562.7
Q3TAS6,ENSMUSG00000008140.19
Q3TB82,ENSMUSG00000074170.6
Q3TBW2,ENSMUSG00000001445.11
Q3TC33,ENSMUSG00000021578.18
Q3TC46,ENSMUSG00000046139.9
Q3TC72,ENSMUSG00000027371.11
Q3TC93,ENSMUSG00000020605.10
Q3TCH7,ENSMUSG00000031446.15
Q3TCN2,ENSMUSG00000029598.13
Q3TDD9,ENSMUSG00000034709.9
Q3TDK6,ENSMUSG00000022540.18
Q3TDN2,ENSMUSG00000025873.17
Q3TEA8,ENSMUSG00000028759.14
Q3TFQ1,ENSMUSG00000021930.15
Q3TGF2,ENSMUSG00000026655.16
Q3TGW2,ENSMUSG00000036611.6
Q3TH73,ENSMUSG00000034714.10
Q3THE2,ENSMUSG00000034868.10
Q3THE2,ENSMUSG00000117098.2
Q3THG9,ENSMUSG00000075528.14
Q3THK3,ENSMUSG00000002658.10
Q3THK7,ENSMUSG00000027823.10
Q3THS6,ENSMUSG00000053907.11
Q3TIR1,ENSMUSG00000021711.18
Q3TIR3,ENSMUSG00000025485.14
Q3TIU4,ENSMUSG00000043702.10
Q3TIV5,ENSMUSG00000027091.15
Q3TIX9,ENSMUSG00000056305.5
Q3TJ91,ENSMUSG00000020782.19
